cell_id,datetime,X,Y,acc_count
"(717514.445, 6177963.565)",2023-08-09 23:00:00,717748.765,6178203.211,1
"(717514.445, 6177963.565)",2023-11-11 15:00:00,717729.956,6178210.045,1
"(717514.445, 6178963.565)",2023-02-24 22:00:00,717363.408,6179010.116,1
"(717514.445, 6179463.565)",2023-01-04 22:00:00,717714.538,6179227.971,1
"(717514.445, 6179463.565)",2023-11-04 16:00:00,717742.181,6179244.194,1
"(717514.445, 6179963.565)",2023-03-10 17:00:00,717551.16,6179760.602,1
"(717514.445, 6179963.565)",2023-04-13 17:00:00,717291.361,6179983.37,1
"(717514.445, 6179963.565)",2023-05-24 13:00:00,717291.361,6179983.37,1
"(717514.445, 6179963.565)",2023-07-27 02:00:00,717264.445,6179927.347,1
"(717514.445, 6179963.565)",2023-09-03 06:00:00,717291.361,6179983.37,1
"(717514.445, 6179963.565)",2023-10-25 07:00:00,717291.361,6179983.37,1
"(717514.445, 6179963.565)",2023-11-24 16:00:00,717428.894,6179831.704,1
"(718014.445, 6176963.565)",2023-11-16 07:00:00,718127.837,6177183.377,1
"(718014.445, 6177963.565)",2023-06-22 15:00:00,717941.547,6178133.154,1
"(718014.445, 6177963.565)",2023-06-25 19:00:00,718183.238,6178045.335,1
"(718014.445, 6177963.565)",2023-09-30 03:00:00,717997.032,6178112.992,1
"(718014.445, 6178963.565)",2023-08-17 23:00:00,718167.001,6178754.001,1
"(718014.445, 6179463.565)",2023-01-26 18:00:00,718113.141,6179485.265,1
"(718014.445, 6179463.565)",2023-01-27 09:00:00,717862.001,6179578.001,1
"(718014.445, 6179463.565)",2023-02-20 07:00:00,717795.001,6179270.001,1
"(718014.445, 6179463.565)",2023-04-01 08:00:00,717807.962,6179613.335,1
"(718014.445, 6179463.565)",2023-04-10 08:00:00,717769.002,6179633.922,1
"(718014.445, 6179463.565)",2023-05-12 00:00:00,717850.001,6179588.001,1
"(718014.445, 6179463.565)",2023-05-26 18:00:00,718104.807,6179452.646,1
"(718014.445, 6179463.565)",2023-05-31 06:00:00,717955.879,6179547.609,1
"(718014.445, 6179463.565)",2023-06-21 20:00:00,717887.776,6179328.314,1
"(718014.445, 6179463.565)",2023-07-12 12:00:00,718121.001,6179467.001,1
"(718014.445, 6179463.565)",2023-07-17 00:00:00,718061.001,6179466.001,1
"(718014.445, 6179463.565)",2023-07-26 20:00:00,718074.261,6179416.35,1
"(718014.445, 6179463.565)",2023-08-26 15:00:00,718251.001,6179703.001,1
"(718014.445, 6179463.565)",2023-09-21 17:00:00,718262.001,6179532.001,1
"(718014.445, 6179463.565)",2023-09-29 20:00:00,717862.001,6179578.001,1
"(718014.445, 6179463.565)",2023-11-05 14:00:00,718006.138,6179528.518,2
"(718014.445, 6179463.565)",2023-11-12 17:00:00,718078.764,6179437.726,1
"(718014.445, 6179463.565)",2023-11-21 19:00:00,717873.504,6179581.055,1
"(718014.445, 6179463.565)",2023-12-02 14:00:00,718123.001,6179466.001,1
"(718514.445, 6174963.565)",2023-09-24 12:00:00,718475.001,6175131.001,1
"(718514.445, 6174963.565)",2023-10-31 13:00:00,718512.934,6175129.78,1
"(718514.445, 6176963.565)",2023-03-27 08:00:00,718507.079,6177156.37,1
"(718514.445, 6176963.565)",2023-12-25 14:00:00,718533.891,6177187.51,1
"(718514.445, 6177463.565)",2023-05-04 22:00:00,718691.581,6177672.78,1
