,ix,iy,count,center_x,center_y
292,17,18,96,724066.001,6176113.565
291,17,17,91,724066.001,6175713.565
316,18,17,86,724466.001,6175713.565
178,12,24,77,722066.001,6178513.565
373,20,19,67,725266.001,6176513.565
441,23,14,60,726466.001,6174513.565
138,10,13,58,721266.001,6174113.565
315,18,16,54,724466.001,6175313.565
120,9,10,51,720866.001,6172913.565
420,22,15,50,726066.001,6174913.565
270,16,19,50,723666.001,6176513.565
36,4,21,48,718866.001,6177313.565
272,16,21,48,723666.001,6177313.565
344,19,16,47,724866.001,6175313.565
277,16,26,46,723666.001,6179313.565
318,18,19,45,724466.001,6176513.565
200,13,24,44,722466.001,6178513.565
129,9,25,44,720866.001,6178913.565
290,17,16,44,724066.001,6175313.565
320,18,21,42,724466.001,6177313.565
372,20,18,41,725266.001,6176113.565
399,21,19,41,725666.001,6176513.565
139,10,14,39,721266.001,6174513.565
246,15,20,38,723266.001,6176913.565
158,11,23,38,721666.001,6178113.565
199,13,23,38,722466.001,6178113.565
223,14,23,37,722866.001,6178113.565
143,10,23,37,721266.001,6178113.565
196,13,20,36,722466.001,6176913.565
222,14,22,36,722866.001,6177713.565
438,23,11,36,726466.001,6173313.565
278,16,27,35,723666.001,6179713.565
397,21,17,35,725666.001,6175713.565
347,19,19,35,724866.001,6176513.565
352,19,24,35,724866.001,6178513.565
111,8,22,34,720466.001,6177713.565
53,5,17,33,719266.001,6175713.565
455,24,13,33,726866.001,6174113.565
421,22,16,32,726066.001,6175313.565
267,16,16,32,723666.001,6175313.565
171,12,10,32,722066.001,6172913.565
46,5,10,32,719266.001,6172913.565
243,15,16,32,723266.001,6175313.565
317,18,18,31,724466.001,6176113.565
180,12,26,31,722066.001,6179313.565
191,13,11,31,722466.001,6173313.565
249,15,23,31,723266.001,6178113.565
144,10,24,31,721266.001,6178513.565
288,17,14,30,724066.001,6174513.565
395,21,15,30,725666.001,6174913.565
314,18,15,30,724466.001,6174913.565
121,9,11,30,720866.001,6173313.565
345,19,17,29,724866.001,6175713.565
181,12,27,29,722066.001,6179713.565
374,20,20,29,725266.001,6176913.565
255,15,29,29,723266.001,6180513.565
197,13,21,29,722466.001,6177313.565
215,14,11,28,722866.001,6173313.565
104,8,10,28,720466.001,6172913.565
179,12,25,28,722066.001,6178913.565
193,13,13,27,722466.001,6174113.565
217,14,14,27,722866.001,6174513.565
470,25,11,26,727266.001,6173313.565
355,19,27,26,724866.001,6179713.565
259,16,7,26,723666.001,6171713.565
346,19,18,25,724866.001,6176113.565
12,2,26,25,718066.001,6179313.565
242,15,15,25,723266.001,6174913.565
294,17,20,25,724066.001,6176913.565
216,14,13,24,722866.001,6174113.565
202,13,26,24,722466.001,6179313.565
225,14,25,24,722866.001,6178913.565
250,15,24,24,723266.001,6178513.565
354,19,26,24,724866.001,6179313.565
145,10,25,24,721266.001,6178913.565
474,25,15,24,727266.001,6174913.565
353,19,25,24,724866.001,6178913.565
276,16,25,23,723666.001,6178913.565
99,7,27,23,720066.001,6179713.565
266,16,15,23,723666.001,6174913.565
356,19,28,23,724866.001,6180113.565
220,14,20,23,722866.001,6176913.565
442,23,15,23,726466.001,6174913.565
396,21,16,23,725666.001,6175313.565
24,3,26,23,718466.001,6179313.565
413,22,8,22,726066.001,6172113.565
319,18,20,22,724466.001,6176913.565
271,16,20,22,723666.001,6176913.565
8,1,27,22,717666.001,6179713.565
218,14,15,22,722866.001,6174913.565
440,23,13,22,726466.001,6174113.565
241,15,14,22,723266.001,6174513.565
71,6,15,22,719666.001,6174913.565
57,5,21,21,719266.001,6177313.565
398,21,18,21,725666.001,6176113.565
161,11,26,21,721666.001,6179313.565
351,19,23,21,724866.001,6178113.565
369,20,15,21,725266.001,6174913.565
115,8,26,20,720466.001,6179313.565
368,20,14,20,725266.001,6174513.565
274,16,23,20,723666.001,6178113.565
40,4,25,20,718866.001,6178913.565
219,14,16,20,722866.001,6175313.565
97,7,25,20,720066.001,6178913.565
268,16,17,19,723666.001,6175713.565
419,22,14,19,726066.001,6174513.565
417,22,12,19,726066.001,6173713.565
296,17,22,19,724066.001,6177713.565
454,24,12,19,726866.001,6173713.565
248,15,22,19,723266.001,6177713.565
153,11,10,19,721666.001,6172913.565
92,7,20,19,720066.001,6176913.565
52,5,16,19,719266.001,6175313.565
224,14,24,19,722866.001,6178513.565
213,14,9,18,722866.001,6172513.565
471,25,12,18,727266.001,6173713.565
61,5,25,18,719266.001,6178913.565
330,18,31,18,724466.001,6181313.565
195,13,15,18,722466.001,6174913.565
221,14,21,18,722866.001,6177313.565
160,11,25,18,721666.001,6178913.565
47,5,11,18,719266.001,6173313.565
483,26,8,17,727666.001,6172113.565
279,16,28,17,723666.001,6180113.565
77,6,22,17,719666.001,6177713.565
293,17,19,17,724066.001,6176513.565
380,20,26,17,725266.001,6179313.565
41,4,26,17,718866.001,6179313.565
192,13,12,17,722466.001,6173713.565
164,11,29,17,721666.001,6180513.565
126,9,22,17,720866.001,6177713.565
265,16,14,17,723666.001,6174513.565
214,14,10,17,722866.001,6172913.565
123,9,13,17,720866.001,6174113.565
402,21,22,16,725666.001,6177713.565
472,25,13,16,727266.001,6174113.565
177,12,23,16,722066.001,6178113.565
400,21,20,16,725666.001,6176913.565
357,19,29,16,724866.001,6180513.565
190,13,10,16,722466.001,6172913.565
247,15,21,16,723266.001,6177313.565
124,9,14,16,720866.001,6174513.565
88,7,12,16,720066.001,6173713.565
94,7,22,16,720066.001,6177713.565
371,20,17,16,725266.001,6175713.565
394,21,14,16,725666.001,6174513.565
114,8,25,15,720466.001,6178913.565
51,5,15,15,719266.001,6174913.565
349,19,21,15,724866.001,6177313.565
322,18,23,15,724466.001,6178113.565
321,18,22,15,724466.001,6177713.565
363,20,5,15,725266.001,6170913.565
122,9,12,15,720866.001,6173713.565
146,10,26,15,721266.001,6179313.565
407,21,27,15,725666.001,6179713.565
468,25,9,15,727266.001,6172513.565
343,19,15,15,724866.001,6174913.565
130,9,26,14,720866.001,6179313.565
490,26,15,14,727666.001,6174913.565
21,3,23,14,718466.001,6178113.565
251,15,25,14,723266.001,6178913.565
435,23,8,14,726466.001,6172113.565
264,16,13,14,723666.001,6174113.565
103,8,9,14,720466.001,6172513.565
182,12,28,14,722066.001,6180113.565
297,17,23,14,724066.001,6178113.565
63,5,28,14,719266.001,6180113.565
206,13,30,13,722466.001,6180913.565
390,21,8,13,725666.001,6172113.565
376,20,22,13,725266.001,6177713.565
348,19,20,13,724866.001,6176913.565
170,12,9,13,722066.001,6172513.565
329,18,30,13,724466.001,6180913.565
74,6,19,13,719666.001,6176513.565
165,11,30,13,721666.001,6180913.565
289,17,15,13,724066.001,6174913.565
159,11,24,13,721666.001,6178513.565
422,22,17,13,726066.001,6175713.565
86,7,10,13,720066.001,6172913.565
125,9,21,13,720866.001,6177313.565
444,23,17,13,726466.001,6175713.565
127,9,23,13,720866.001,6178113.565
67,6,10,13,719666.001,6172913.565
201,13,25,12,722466.001,6178913.565
392,21,11,12,725666.001,6173313.565
93,7,21,12,720066.001,6177313.565
375,20,21,12,725266.001,6177313.565
505,28,13,12,728466.001,6174113.565
457,24,15,12,726866.001,6174913.565
325,18,26,12,724466.001,6179313.565
287,17,13,12,724066.001,6174113.565
80,6,25,12,719666.001,6178913.565
34,4,19,12,718866.001,6176513.565
156,11,13,12,721666.001,6174113.565
185,13,2,12,722466.001,6169713.565
13,2,27,12,718066.001,6179713.565
108,8,14,11,720466.001,6174513.565
135,10,10,11,721266.001,6172913.565
56,5,20,11,719266.001,6176913.565
110,8,21,11,720466.001,6177313.565
333,19,2,11,724866.001,6169713.565
335,19,4,11,724866.001,6170513.565
226,14,26,11,722866.001,6179313.565
252,15,26,11,723266.001,6179313.565
