cell_id,lat_lon
"(717514.445, 6177963.565)","(55.69857897154235, 12.461488873995204)"
"(717514.445, 6178963.565)","(55.70754794483434, 12.462282657609029)"
"(717514.445, 6179463.565)","(55.712032423718114, 12.46267971758141)"
"(717514.445, 6179963.565)","(55.7165168974264, 12.463076889721858)"
"(718014.445, 6176963.565)","(55.689385713678476, 12.468634300315673)"
"(718014.445, 6177963.565)","(55.698354632688726, 12.46942944677675)"
"(718014.445, 6178963.565)","(55.707323530969155, 12.470225042407458)"
"(718014.445, 6179463.565)","(55.71180797233434, 12.470623008769866)"
"(718514.445, 6174963.565)","(55.67122318715919, 12.474980384312556)"
"(718514.445, 6176963.565)","(55.68916093715885, 12.476572949891526)"
"(718514.445, 6177463.565)","(55.69364536168528, 12.476971372327132)"
"(718514.445, 6177963.565)","(55.698129781021215, 12.477369907265896)"
"(718514.445, 6178463.565)","(55.702614195166134, 12.477768554751268)"
"(718514.445, 6178963.565)","(55.70709860411949, 12.478167314826718)"
"(718514.445, 6179463.565)","(55.71158300788072, 12.478566187535739)"
"(718514.445, 6180463.565)","(55.72055179982469, 12.47936427102857)"
"(719014.445, 6173463.565)","(55.65754479438279, 12.48171934650514)"
"(719014.445, 6173963.565)","(55.6620292176325, 12.48211788614353)"
"(719014.445, 6174463.565)","(55.666513635686975, 12.482516538234995)"
"(719014.445, 6174963.565)","(55.670998048545655, 12.482915302822914)"
"(719014.445, 6175463.565)","(55.675482456207995, 12.483314179950696)"
"(719014.445, 6175963.565)","(55.67996685867344, 12.483713169661774)"
"(719014.445, 6176463.565)","(55.68445125594146, 12.484112271999598)"
"(719014.445, 6176963.565)","(55.6889356480115, 12.48451148700765)"
"(719014.445, 6177463.565)","(55.69342003488302, 12.484910814729423)"
"(719014.445, 6177963.565)","(55.69790441655547, 12.48531025520844)"
"(719014.445, 6178963.565)","(55.70687316430099, 12.486109474612416)"
"(719014.445, 6179463.565)","(55.71135753037295, 12.486509253624527)"
"(719014.445, 6179963.565)","(55.71584189124368, 12.486909145568202)"
"(719014.445, 6180963.565)","(55.72481059737917, 12.487709268424798)"
"(719514.445, 6172463.565)","(55.64835046981497, 12.488852893049524)"
"(719514.445, 6172963.565)","(55.65283486579072, 12.489252110872291)"
"(719514.445, 6173463.565)","(55.65731925656374, 12.489651441314617)"
"(719514.445, 6173963.565)","(55.66180364213346, 12.490050884419935)"
"(719514.445, 6174463.565)","(55.666288022499344, 12.490450440231708)"
"(719514.445, 6174963.565)","(55.67077239766085, 12.490850108793415)"
"(719514.445, 6175463.565)","(55.675256767617434, 12.491249890148564)"
"(719514.445, 6175963.565)","(55.679741132368534, 12.491649784340684)"
"(719514.445, 6176463.565)","(55.6842254919136, 12.49204979141332)"
"(719514.445, 6176963.565)","(55.68870984625208, 12.49244991141005)"
"(719514.445, 6177463.565)","(55.693194195383455, 12.49285014437447)"
"(719514.445, 6178963.565)","(55.70664721152936, 12.494051521510169)"
"(719514.445, 6179963.565)","(55.71561586291424, 12.494853005239369)"
"(719514.445, 6180463.565)","(55.72010018079133, 12.495253916926721)"
"(720014.445, 6172463.565)","(55.648124495500134, 12.496783069108776)"
"(720014.445, 6172963.565)","(55.652608853727976, 12.497183189848576)"
"(720014.445, 6173463.565)","(55.65709320674448, 12.497583423461105)"
"(720014.445, 6173963.565)","(55.66157755454908, 12.497983769989888)"
"(720014.445, 6174463.565)","(55.66606189714126, 12.498384229478486)"
"(720014.445, 6174963.565)","(55.67054623452046, 12.498784801970478)"
"(720014.445, 6176963.565)","(55.68848353189634, 12.500388222844766)"
"(720014.445, 6177463.565)","(55.69296784320233, 12.500789361008213)"
"(720014.445, 6177963.565)","(55.69745214929202, 12.501190612437009)"
"(720014.445, 6178963.565)","(55.70642074582031, 12.501993455265623)"
"(720014.445, 6179463.565)","(55.710905036257785, 12.502395046752987)"
"(720514.445, 6171963.565)","(55.64341368375666, 12.504312221807753)"
"(720514.445, 6172463.565)","(55.64789800937091, 12.504713132338818)"
"(720514.445, 6172963.565)","(55.65238232976578, 12.50511415595214)"
"(720514.445, 6173463.565)","(55.656866644940685, 12.505515292691335)"
"(720514.445, 6173963.565)","(55.66135095489509, 12.505916542600028)"
"(720514.445, 6174463.565)","(55.665835259628444, 12.506317905721874)"
"(720514.445, 6174963.565)","(55.6703195591402, 12.506719382100549)"
"(720514.445, 6176963.565)","(55.68825670495999, 12.508326421057854)"
"(720514.445, 6177463.565)","(55.69274097835536, 12.508728464376613)"
"(720514.445, 6177963.565)","(55.69722524652579, 12.509130621214736)"
"(720514.445, 6178463.565)","(55.701709509470724, 12.509532891616061)"
"(720514.445, 6178963.565)","(55.70619376718962, 12.509935275624446)"
"(720514.445, 6179463.565)","(55.71067801968188, 12.510337773283776)"
"(720514.445, 6179963.565)","(55.71516226694698, 12.51074038463795)"
"(721014.445, 6168963.565)","(55.61628088775169, 12.509832768327351)"
"(721014.445, 6172463.565)","(55.64767101144305, 12.512643082486601)"
"(721014.445, 6172963.565)","(55.65215529391988, 12.513045008929842)"
"(721014.445, 6173463.565)","(55.656639571168135, 12.513447048752074)"
"(721014.445, 6173963.565)","(55.66112384318723, 12.513849201997022)"
"(721014.445, 6174463.565)","(55.66560810997666, 12.514251468708439)"
"(721014.445, 6177463.565)","(55.69251360085834, 12.51666745422565)"
"(721014.445, 6177963.565)","(55.696997831024255, 12.517070516429266)"
"(721014.445, 6178463.565)","(55.70148205595602, 12.517473692450174)"
"(721014.445, 6178963.565)","(55.70596627565307, 12.517876982332334)"
"(721014.445, 6179463.565)","(55.710450490114816, 12.518280386119718)"
"(721014.445, 6179963.565)","(55.71493469934073, 12.518683903856335)"
"(721014.445, 6180463.565)","(55.71941890333023, 12.519087535586207)"
"(721514.445, 6168963.565)","(55.61605364382054, 12.517756292715037)"
"(721514.445, 6172463.565)","(55.64744350173229, 12.520572919299106)"
"(721514.445, 6172963.565)","(55.651927746206034, 12.520975748528556)"
"(721514.445, 6173963.565)","(55.660896219441284, 12.521781747927553)"
"(721514.445, 6174463.565)","(55.66538044820167, 12.522184918184767)"
"(721514.445, 6177963.565)","(55.69676990280325, 12.525010297826507)"
"(721514.445, 6178463.565)","(55.7012540896366, 12.525414379423044)"
"(721514.445, 6178963.565)","(55.70573827122651, 12.525818575134995)"
"(721514.445, 6179463.565)","(55.710222447572455, 12.526222885006435)"
"(721514.445, 6180463.565)","(55.71919078453015, 12.527031847404213)"
"(721514.445, 6180963.565)","(55.723674945140786, 12.527436500018819)"
"(721514.445, 6181463.565)","(55.728159100505174, 12.527841266969455)"
"(722014.445, 6168963.565)","(55.615825888717055, 12.525679703820405)"
"(722014.445, 6169463.565)","(55.62031013180823, 12.526082639823962)"
"(722014.445, 6171963.565)","(55.64273126862347, 12.52809902439273)"
"(722014.445, 6172463.565)","(55.64721548025444, 12.528502642523325)"
"(722014.445, 6172963.565)","(55.65169968664007, 12.528906374495184)"
"(722014.445, 6173463.565)","(55.6561838877798, 12.529310220352214)"
"(722014.445, 6173963.565)","(55.66066808367305, 12.529714180138326)"
"(722014.445, 6174463.565)","(55.66515227431929, 12.530118253897468)"
"(722014.445, 6174963.565)","(55.66963645971792, 12.530522441673607)"
"(722014.445, 6177963.565)","(55.69654146187863, 12.53294996515239)"
"(722014.445, 6178463.565)","(55.70102561052828, 12.5333549522805)"
"(722014.445, 6178963.565)","(55.70550975392582, 12.533760053778169)"
"(722014.445, 6179463.565)","(55.70999389207065, 12.534165269689565)"
"(722014.445, 6179963.565)","(55.71447802496223, 12.53457060005889)"
"(722014.445, 6180463.565)","(55.718962152599985, 12.534976044930364)"
"(722014.445, 6180963.565)","(55.72344627498336, 12.535381604348228)"
"(722514.445, 6169463.565)","(55.620081827435776, 12.53400683832455)"
"(722514.445, 6169963.565)","(55.62456602716391, 12.53441078908869)"
"(722514.445, 6170463.565)","(55.62905022164085, 12.534814853727427)"
"(722514.445, 6171963.565)","(55.642502773558824, 12.536027731330126)"
"(722514.445, 6172463.565)","(55.64698694702532, 12.536432251906277)"
"(722514.445, 6172963.565)","(55.6514711152378, 12.536836886576651)"
"(722514.445, 6173463.565)","(55.65595527819568, 12.537241635385243)"
"(722514.445, 6173963.565)","(55.6604394358984, 12.537646498376072)"
"(722514.445, 6174463.565)","(55.66492358834539, 12.538051475593175)"
"(722514.445, 6174963.565)","(55.66940773553609, 12.53845656708062)"
"(722514.445, 6176963.565)","(55.68734427172459, 12.540078076615869)"
"(722514.445, 6177463.565)","(55.6918283926253, 12.54048374011677)"
"(722514.445, 6177963.565)","(55.69631250826628, 12.540889518152872)"
"(722514.445, 6178463.565)","(55.700796618647004, 12.541295410768406)"
"(722514.445, 6178963.565)","(55.705280723766876, 12.541701418007614)"
"(722514.445, 6179463.565)","(55.70976482362533, 12.54210753991477)"
"(722514.445, 6179963.565)","(55.71424891822178, 12.54251377653417)"
"(722514.445, 6180463.565)","(55.718733007555684, 12.542920127910126)"
"(722514.445, 6180963.565)","(55.723217091626445, 12.543326594086984)"
"(723014.445, 6170463.565)","(55.62882132962207, 12.54274074092646)"
"(723014.445, 6170963.565)","(55.633305480623854, 12.543145821127036)"
"(723014.445, 6171963.565)","(55.642273766843786, 12.543956324217277)"
"(723014.445, 6172463.565)","(55.646757902060806, 12.544361747195012)"
"(723014.445, 6172963.565)","(55.651242032015084, 12.544767284519903)"
"(723014.445, 6173463.565)","(55.655726156706066, 12.545172936236042)"
"(723014.445, 6174463.565)","(55.66469439029586, 12.545984583018551)"
"(723014.445, 6174963.565)","(55.66917849919351, 12.546390578173213)"
"(723014.445, 6175463.565)","(55.673662602825594, 12.546796687895721)"
"(723014.445, 6176963.565)","(55.68711488212257, 12.548015704912478)"
"(723014.445, 6177463.565)","(55.69159896468658, 12.54842227334865)"
"(723014.445, 6177963.565)","(55.69608304198215, 12.54882895657393)"
"(723014.445, 6178463.565)","(55.7005671140087, 12.549235754632639)"
"(723014.445, 6178963.565)","(55.70505118076565, 12.549642667569117)"
"(723014.445, 6179463.565)","(55.709535242252414, 12.550049695427738)"
"(723014.445, 6180463.565)","(55.71850334941316, 12.550864096088993)"
"(723014.445, 6180963.565)","(55.722987395085994, 12.551271468980481)"
"(723514.445, 6170463.565)","(55.628591926223706, 12.550666513954472)"
"(723514.445, 6170963.565)","(55.63307603891716, 12.551072495754413)"
"(723514.445, 6171463.565)","(55.63756014634087, 12.551478592021995)"
"(723514.445, 6171963.565)","(55.64204424849427, 12.551884802801341)"
"(723514.445, 6172463.565)","(55.64652834537681, 12.552291128136593)"
"(723514.445, 6172963.565)","(55.65101243698786, 12.55269756807191)"
"(723514.445, 6173963.565)","(55.65998060439334, 12.553510791919525)"
"(723514.445, 6174463.565)","(55.66446468018661, 12.553917575920266)"
"(723514.445, 6174963.565)","(55.668948750706114, 12.554324474697964)"
"(723514.445, 6175463.565)","(55.673432815951294, 12.554731488296904)"
"(723514.445, 6175963.565)","(55.67791687592159, 12.55513861676138)"
"(723514.445, 6176463.565)","(55.68240093061639, 12.555545860135723)"
"(723514.445, 6176963.565)","(55.686884980035146, 12.55595321846428)"
"(723514.445, 6177463.565)","(55.69136902417727, 12.55636069179143)"
"(723514.445, 6177963.565)","(55.69585306304217, 12.556768280161561)"
"(723514.445, 6178463.565)","(55.70033709662931, 12.5571759836191)"
"(723514.445, 6178963.565)","(55.704821124938086, 12.557583802208482)"
"(723514.445, 6179463.565)","(55.70930514796792, 12.557991735974175)"
"(723514.445, 6179963.565)","(55.713789165718225, 12.558399784960672)"
"(723514.445, 6180463.565)","(55.71827317818844, 12.558807949212477)"
"(723514.445, 6180963.565)","(55.722757185378, 12.559216228774133)"
"(723514.445, 6181463.565)","(55.727241187286296, 12.559624623690196)"
"(724014.445, 6170463.565)","(55.6283620114617, 12.558592172558939)"
"(724014.445, 6171963.565)","(55.64181421852621, 12.559813166829503)"
"(724014.445, 6173463.565)","(55.655266378074124, 12.561035194378462)"
"(724014.445, 6173963.565)","(55.65975042069483, 12.561442766718805)"
"(724014.445, 6174463.565)","(55.66423445803361, 12.56185045404503)"
"(724014.445, 6174963.565)","(55.668718490089866, 12.562258256401483)"
"(724014.445, 6175463.565)","(55.673202516863064, 12.562666173832547)"
"(724014.445, 6175963.565)","(55.67768653835257, 12.563074206382618)"
"(724014.445, 6176463.565)","(55.68217055455785, 12.563482354096122)"
"(724014.445, 6176963.565)","(55.68665456547828, 12.563890617017499)"
"(724014.445, 6177463.565)","(55.69113857111332, 12.564298995191226)"
"(724014.445, 6177963.565)","(55.69562257146238, 12.564707488661796)"
"(724014.445, 6178463.565)","(55.700106566524866, 12.56511609747372)"
"(724014.445, 6178963.565)","(55.704590556300225, 12.56552482167154)"
"(724014.445, 6179463.565)","(55.70907454078783, 12.56593366129982)"
"(724014.445, 6179963.565)","(55.71355851998713, 12.566342616403142)"
"(724014.445, 6180463.565)","(55.718042493897556, 12.56675168702612)"
"(724014.445, 6181463.565)","(55.72701042584939, 12.567570175009589)"
