AAR;UHELDSART;UHELDKOMMUNE;X_KOORDINAT;Y_KOORDINAT;UHELDSDATO;TIME
2022;Pskduh;København;721421,168;6178140,391;02-01-2022;18
2022;Pskduh;København;724091,001;6175843,001;04-01-2022;19
2022;Pskduh;København;721883,001;6179474,001;05-01-2022;15
2022;Pskduh;København;727758,001;6175158,001;05-01-2022;22
2022;Pskduh;København;721400,001;6179601,001;06-01-2022;7
2022;Pskduh;København;719217,001;6175653,001;06-01-2022;13
2022;Pskduh;København;725513,001;6171927,001;06-01-2022;15
2022;Pskduh;København;723351,001;6178322,001;06-01-2022;15
2022;Exuh;København;720393,38;6172808,163;01-01-2022;1
2022;Anmsuh;København;724031,001;6176176,001;01-01-2022;15
2022;Exuh;København;723610,374;6171855,281;01-01-2022;19
2022;Exuh;København;723467,392;6171314,348;01-01-2022;19
2022;Exuh;København;719334,851;6176937,58;01-01-2022;22
2022;Exuh;København;726251,434;6174763,269;02-01-2022;17
2022;Anmsuh;København;721558,421;6172775,122;02-01-2022;21
2022;Exuh;København;721344,081;6173138,55;03-01-2022;10
2022;Anmsuh;København;720934,312;6173368,235;03-01-2022;8
2022;Anmsuh;København;723552,001;6171857,001;03-01-2022;15
2022;Anmsuh;København;720189,693;6177081,722;04-01-2022;15
2022;Exuh;København;725572,001;6179568,001;05-01-2022;9
2022;Anmsuh;København;723001,001;6174765,001;05-01-2022;10
2022;Anmsuh;København;721411,139;6178152,926;05-01-2022;16
2022;Anmsuh;København;724601,001;6175526,001;05-01-2022;15
2022;Anmsuh;København;723851,001;6177117,001;05-01-2022;18
2022;Pskduh;København;723728,615;6171582,476;03-01-2022;0
2022;Mskduh;København;724119,001;6175625,001;01-01-2022;5
2022;Mskduh;København;719431,136;6175737,383;06-01-2022;7
2022;Mskduh;København;723579,575;6171855,811;07-01-2022;0
2022;Pskduh;København;725890,001;6175412,001;04-01-2022;17
2022;Pskduh;København;719236,001;6175655,001;05-01-2022;15
2022;Pskduh;København;722625,001;6178552,001;05-01-2022;21
2022;Anmsuh;København;718367,001;6178755,001;03-01-2022;21
2022;Pskduh;København;725276,717;6175011,872;01-01-2022;4
2022;Pskduh;København;724347,001;6175305,001;08-01-2022;0
2022;Pskduh;København;720955,578;6173423,739;09-01-2022;15
2022;Pskduh;København;719486,001;6173650,001;12-01-2022;16
2022;Exuh;København;720715,001;6174471,001;07-01-2022;15
2022;Anmsuh;København;727197,001;6173142,001;08-01-2022;1
2022;Anmsuh;København;724868,444;6176671,214;08-01-2022;12
2022;Exuh;København;726520,254;6171848,592;08-01-2022;17
2022;Anmsuh;København;723455,001;6174795,001;09-01-2022;17
2022;Anmsuh;København;717262,723;6179928,349;09-01-2022;21
2022;Anmsuh;København;722174,001;6178481,001;11-01-2022;9
2022;Exuh;København;721594,615;6177941,49;11-01-2022;16
2022;Anmsuh;København;719380,967;6175049,528;12-01-2022;14
2022;Exuh;København;727496,001;6174991,001;12-01-2022;16
2022;Exuh;København;719356,407;6172940,211;12-01-2022;18
2022;Anmsuh;København;719517,496;6177511,403;13-01-2022;17
2022;Pskduh;København;726097,985;6173535,838;09-01-2022;15
2022;Mskduh;København;726555,001;6171671,001;07-01-2022;15
2022;Mskduh;København;722382,927;6179282,601;08-01-2022;22
2022;Mskduh;København;722851,001;6173256,001;10-01-2022;16
2022;Mskduh;København;718203,585;6179446,299;11-01-2022;5
2022;Mskduh;København;719088,001;6180100,001;11-01-2022;16
2022;Anmsuh;København;723978,001;6179639,001;11-01-2022;18
2022;Pskduh;København;719139,001;6178272,001;17-01-2022;9
2022;Anmsuh;København;724133,001;6176072,001;14-01-2022;10
2022;Anmsuh;København;722912,001;6179186,001;15-01-2022;14
2022;Anmsuh;København;722522,001;6172928,001;15-01-2022;18
2022;Anmsuh;København;722678,027;6173964,874;12-01-2022;16
2022;Anmsuh;København;719090,001;6179987,001;15-01-2022;20
2022;Exuh;København;719307,498;6173240,203;16-01-2022;17
2022;Exuh;København;725886,701;6174075,33;15-01-2022;13
2022;Anmsuh;København;725336,001;6179187,001;17-01-2022;16
2022;Anmsuh;København;719456,191;6172956,18;18-01-2022;9
2022;Anmsuh;København;721874,151;6178638,14;18-01-2022;14
2022;Anmsuh;København;721201,001;6174545,001;18-01-2022;17
2022;Exuh;København;722463,001;6178216,001;18-01-2022;21
2022;Exuh;København;720694,001;6173143,001;18-01-2022;17
2022;Anmsuh;København;718632,752;6177930,105;19-01-2022;7
2022;Anmsuh;København;723769,001;6175670,001;17-01-2022;13
2022;Exuh;København;721885,136;6172785,44;19-01-2022;10
2022;Pskduh;København;722363,74;6169890,002;19-01-2022;15
2022;Pskduh;København;722479,84;6174248,824;20-01-2022;11
2022;Mskduh;København;720211,789;6179576,464;20-01-2022;18
2022;Anmsuh;København;728105,848;6175028,117;15-01-2022;1
2022;Pskduh;København;723342,001;6178321,001;15-01-2022;3
2022;Anmsuh;København;723205,12;6178471,57;15-01-2022;4
2022;Anmsuh;København;719358,001;6172892,001;16-01-2022;3
2022;Anmsuh;København;722979,001;6174762,001;18-01-2022;21
2022;Pskduh;København;719706,926;6172937,317;21-01-2022;7
2022;Pskduh;København;723871,001;6175956,001;22-01-2022;13
2022;Pskduh;København;724998,001;6176091,001;22-01-2022;22
2022;Exuh;København;723623,841;6176470,62;01-01-2022;0
2022;Exuh;København;723291,831;6176844,9;08-01-2022;0
