,Time,acc_precip,mean_temp,mean_relative_hum,mean_wind_speed,mean_radiation
105192,2023-01-01 00:00:00,1.1,9.1,99.0,1.6,0.0
105193,2023-01-01 01:00:00,3.5,9.0,99.3,1.7,0.0
105194,2023-01-01 02:00:00,0.9,9.8,99.5,2.9,0.0
105195,2023-01-01 03:00:00,2.3,10.7,98.3,5.4,0.0
105196,2023-01-01 04:00:00,0.7,10.6,98.0,5.3,0.0
105197,2023-01-01 05:00:00,0.4,10.6,97.3,5.5,0.0
105198,2023-01-01 06:00:00,0.1,10.7,95.8,6.6,0.0
105199,2023-01-01 07:00:00,0.0,11.0,90.8,7.5,0.0
105200,2023-01-01 08:00:00,0.0,11.2,87.7,6.8,0.0
105201,2023-01-01 09:00:00,0.0,11.1,88.2,5.5,4.0
105202,2023-01-01 10:00:00,0.6,10.8,90.2,6.0,36.0
105203,2023-01-01 11:00:00,0.0,11.1,84.2,7.0,40.0
105204,2023-01-01 12:00:00,0.0,10.8,79.5,7.3,64.0
105205,2023-01-01 13:00:00,0.0,10.5,78.7,7.2,36.0
105206,2023-01-01 14:00:00,0.0,10.1,79.8,6.3,30.0
105207,2023-01-01 15:00:00,0.0,9.5,80.3,5.4,10.0
105208,2023-01-01 16:00:00,0.0,9.1,81.0,5.4,0.0
105209,2023-01-01 17:00:00,0.0,8.9,81.5,5.4,0.0
105210,2023-01-01 18:00:00,0.0,8.7,82.3,3.7,0.0
105211,2023-01-01 19:00:00,0.0,8.1,86.0,2.6,0.0
105212,2023-01-01 20:00:00,0.0,8.1,87.2,3.0,0.0
105213,2023-01-01 21:00:00,0.0,8.3,88.0,3.2,0.0
105214,2023-01-01 22:00:00,0.0,8.4,88.5,3.1,0.0
105215,2023-01-01 23:00:00,0.0,8.3,89.8,2.5,0.0
105216,2023-01-02 00:00:00,0.0,8.2,89.5,2.1,0.0
105217,2023-01-02 01:00:00,0.0,7.9,91.0,1.8,0.0
105218,2023-01-02 02:00:00,0.0,7.7,91.2,2.0,0.0
105219,2023-01-02 03:00:00,0.0,7.6,93.0,2.0,0.0
105220,2023-01-02 04:00:00,1.6,7.5,96.0,2.1,0.0
105221,2023-01-02 05:00:00,1.3,7.4,97.5,1.6,0.0
105222,2023-01-02 06:00:00,0.6,7.3,98.8,1.6,0.0
105223,2023-01-02 07:00:00,0.6,7.3,99.2,2.0,0.0
105224,2023-01-02 08:00:00,0.1,7.4,100.0,3.8,0.0
105225,2023-01-02 09:00:00,0.1,7.3,100.0,2.9,4.0
105226,2023-01-02 10:00:00,0.1,7.8,100.0,2.3,12.0
